name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
wmcr2016failrecoil4_wjetsMC_mcstat_bin0          +0.31, 0.95        +0.30, 0.98       +0.00
wmcr2016passrecoil0_wjetsMC_mcstat_bin0          +0.34, 0.87        +0.33, 0.89       +0.02
wmcr2016passrecoil0_wjetsMC_mcstat_bin1          +0.61, 0.88        +0.60, 0.90       +0.01
wmcr2016passrecoil0_wjetsMC_mcstat_bin2          +0.17, 0.90        +0.17, 0.92       +0.01
wmcr2016passrecoil0_wjetsMC_mcstat_bin3          +0.37, 0.89        +0.37, 0.92       -0.01
wmcr2016passrecoil0_wjetsMC_mcstat_bin4          -0.33, 0.92        -0.32, 0.94       -0.01
wmcr2016passrecoil1_wjetsMC_mcstat_bin0          +0.03, 0.89        +0.03, 0.91       +0.01
wmcr2016passrecoil1_wjetsMC_mcstat_bin2          -0.20, 0.89        -0.20, 0.92       +0.00
wmcr2016passrecoil1_wjetsMC_mcstat_bin6          -0.33, 0.92        -0.33, 0.94       +0.00
wmcr2016passrecoil1_wjetsMC_mcstat_bin7          +0.59, 0.90        +0.59, 0.93       +0.01
wmcr2016passrecoil1_wjetsMC_mcstat_bin9          +0.83, 0.94        +0.84, 0.97       +0.00
wmcr2016passrecoil2_wjetsMC_mcstat_bin1          -0.62, 0.92        -0.62, 0.94       +0.00
wmcr2016passrecoil2_wjetsMC_mcstat_bin2          -0.55, 0.92        -0.54, 0.95       -0.00
wmcr2016passrecoil2_wjetsMC_mcstat_bin6          -0.52, 0.92        -0.52, 0.95       +0.00
wmcr2016passrecoil2_wjetsMC_mcstat_bin7          +0.45, 0.93        +0.45, 0.95       +0.00
wmcr2016passrecoil3_wjetsMC_mcstat_bin4          +0.60, 0.91        +0.62, 0.94       -0.01
wmcr2016passrecoil3_wjetsMC_mcstat_bin5          +0.79, 0.90        +0.80, 0.93       -0.01
wmcr2016passrecoil3_wjetsMC_mcstat_bin7          -0.60, 0.94        -0.60, 0.97       +0.00
wmcr2016passrecoil3_wjetsMC_mcstat_bin9          +0.46, 0.93        +0.47, 0.96       -0.00
zhf_fraction                                     +0.12, 0.85        +0.16, 0.89       -0.07
zjets_norm                                    ! +1.83, 0.32!     ! +1.85, 0.42!       -0.03
 FCN=163.569 FROM MIGRAD    STATUS=CONVERGED      91 CALLS          92 TOTAL
                     EDM=1.5537e-08    STRATEGY= 1      ERROR MATRIX ACCURATE 
  EXT PARAMETER                                   STEP         FIRST   
  NO.   NAME      VALUE            ERROR          SIZE      DERIVATIVE 
   1  Constant     7.51879e+01   6.07385e+00   1.88640e-02  -5.92865e-06
   2  Mean         8.28720e-03   8.83593e-03   5.53404e-05   1.12697e-02
   3  Sigma        2.20532e-01   1.54689e-02   5.97921e-05  -9.03058e-03
